Player,ELO,Matches
HH Pandya,1207.3158911134944,146
SK Raina,1203.682339402152,157
AT Rayudu,1176.3427572599537,187
KH Pandya,1165.0319896890196,137
SL Malinga,1144.2730382796544,105
Yash Dayal,1141.1188786980256,31
MS Dhoni,1136.190354076386,243
SP Narine,1128.0105138195875,178
Shubman Gill,1126.0257392129774,118
PD Salt,1120.691547371659,34
Harbhajan Singh,1120.3765885990526,143
Suyash Sharma,1120.2410318387015,22
Shahbaz Ahmed,1119.7439919300632,58
D Padikkal,1117.9789799229804,74
LH Ferguson,1115.3326608496425,40
TA Boult,1109.142170174677,117
YK Pathan,1108.7367658847165,152
RN ten Doeschate,1103.9336623194897,25
DL Chahar,1100.4677492207509,92
SS Iyer,1097.9050883270063,130
MA Starc,1096.86590240292,52
S Dhawan,1093.332520094937,181
SR Tendulkar,1092.7845091189945,64
DP Nannes,1091.7302976457,22
Mukesh Kumar,1091.693797025697,19
KA Pollard,1091.0875202625723,173
MJ McClenaghan,1090.1027497808059,50
LMP Simmons,1085.7701264308207,28
MEK Hussey,1085.5402071154913,52
ML Hayden,1085.188727724523,27
RM Patidar,1083.956079713032,42
S Badrinath,1083.6985188468545,76
MC Henriques,1083.1665545464748,52
R Vinay Kumar,1082.7548036334904,80
Shakib Al Hasan,1082.1342899162437,63
HV Patel,1079.4151101393938,112
TM Dilshan,1078.7985902954576,37
SPD Smith,1076.6904423491562,71
RV Uthappa,1075.1668831040838,145
YS Chahal,1074.4072478302453,154
IC Pandey,1073.2383051185927,23
SA Yadav,1072.3962624195544,159
Sohail Tanvir,1071.140554973185,10
MS Wade,1069.835708039742,13
VR Iyer,1069.4691572535119,61
J Fraser-McGurk,1069.3664070008238,15
R Ashwin,1069.1606271045741,191
SE Rutherford,1066.702085692259,23
R Tewatia,1066.1724718730134,108
RG Sharma,1064.625046032744,210
A Manohar,1064.4743815342172,26
RA Jadeja,1063.5996996255387,202
L Balaji,1063.0681988496387,61
Rashid Khan,1062.9531242912558,134
A Mishra,1062.6116931752438,120
PP Shaw,1062.6097456461741,79
PA Patel,1062.285497193063,102
DT Christian,1059.6376380694546,27
MG Johnson,1059.082733625656,51
BB Sran,1059.0659300317432,20
VG Arora,1058.372211063173,32
P Amarnath,1058.2800148518847,6
J Suchith,1057.1396809386476,22
SN Thakur,1055.5345497652415,103
DR Smith,1055.1486046536183,55
SK Trivedi,1055.1181956399741,61
G Gambhir,1054.6416628291697,132
KD Karthik,1054.3524895695377,209
