Match_ID,Date,Teams,Team1,Team2,Toss_Winner,Toss_Decision,team1_form_winrate_5,team2_form_winrate_5,venue_chase_winrate_prior,venue_score_prior,Match_Winner
335982,2008-04-18,Royal Challengers Bengaluru vs Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,,0.4,0.5,0.0,Kolkata Knight Riders
335983,2008-04-19,Punjab Kings vs Chennai Super Kings,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,,0.4,0.5,0.0,Chennai Super Kings
335984,2008-04-19,Delhi Capitals vs Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,,0.4,0.5,0.0,Delhi Capitals
335985,2008-04-20,Mumbai Indians vs Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,,0.4,0.5,0.0,Royal Challengers Bengaluru
335987,2008-04-21,Rajasthan Royals vs Punjab Kings,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,,0.2,0.5,0.0,Rajasthan Royals
335989,2008-04-23,Chennai Super Kings vs Mumbai Indians,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,,0.4,0.5,0.0,Chennai Super Kings
335991,2008-04-25,Punjab Kings vs Mumbai Indians,Punjab Kings,Mumbai Indians,Mumbai Indians,field,0.0,0.4,0.3333333333333333,-0.33333333333333337,Punjab Kings
335992,2008-04-26,Royal Challengers Bengaluru vs Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,0.0,0.6,0.3333333333333333,-0.33333333333333337,Rajasthan Royals
335993,2008-04-26,Chennai Super Kings vs Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,1.0,0.4,0.3333333333333333,-0.33333333333333337,Chennai Super Kings
335995,2008-04-27,Punjab Kings vs Delhi Capitals,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,0.5,0.6,0.25,-0.5,Punjab Kings
335996,2008-04-28,Royal Challengers Bengaluru vs Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,0.0,0.4,0.5,0.0,Chennai Super Kings
335997,2008-04-29,Kolkata Knight Riders vs Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,1.0,0.2,0.6666666666666666,0.33333333333333326,Mumbai Indians
335998,2008-04-30,Delhi Capitals vs Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,1.0,0.4,0.6666666666666666,0.33333333333333326,Delhi Capitals
336000,2008-05-01,Rajasthan Royals vs Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,1.0,0.4,0.6666666666666666,0.33333333333333326,Rajasthan Royals
336001,2008-05-02,Chennai Super Kings vs Delhi Capitals,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,1.0,0.6,0.5,0.0,Delhi Capitals
336003,2008-05-03,Punjab Kings vs Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,0.6666666666666666,0.4,0.4,-0.19999999999999996,Punjab Kings
336004,2008-05-04,Mumbai Indians vs Delhi Capitals,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,0.0,0.8,0.6666666666666666,0.33333333333333326,Mumbai Indians
336005,2008-05-04,Rajasthan Royals vs Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,1.0,0.6,0.5,0.0,Rajasthan Royals
336006,2008-05-05,Royal Challengers Bengaluru vs Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,0.25,0.4,0.3333333333333333,-0.33333333333333337,Punjab Kings
336008,2008-05-07,Mumbai Indians vs Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,0.3333333333333333,0.6,0.5,0.0,Mumbai Indians
336009,2008-05-08,Delhi Capitals vs Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,1.0,0.6,0.5,0.0,Chennai Super Kings
336010,2008-05-08,Kolkata Knight Riders vs Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,bat,0.5,0.4,0.75,0.5,Kolkata Knight Riders
336013,2008-05-10,Chennai Super Kings vs Punjab Kings,Chennai Super Kings,Punjab Kings,Punjab Kings,field,0.5,0.4,0.6666666666666666,0.33333333333333326,Chennai Super Kings
336015,2008-05-11,Rajasthan Royals vs Delhi Capitals,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,1.0,0.6,0.6666666666666666,0.33333333333333326,Rajasthan Royals
