Match_ID,Date,Teams,Team1,Team2,Toss_Winner,Toss_Decision,team1_form_winrate_5,team2_form_winrate_5,venue_chase_winrate_prior,venue_score_prior,Team1_Players,Team2_Players,team1_player_elo_avg_prior,team2_player_elo_avg_prior,team1_player_elo_max_prior,team2_player_elo_max_prior,team1_player_elo_min_prior,team2_player_elo_min_prior,player_elo_gap_prior,Team1_Player_1,Team1_Player_2,Team1_Player_3,Team1_Player_4,Team1_Player_5,Team1_Player_6,Team1_Player_7,Team1_Player_8,Team1_Player_9,Team1_Player_10,Team1_Player_11,Team2_Player_1,Team2_Player_2,Team2_Player_3,Team2_Player_4,Team2_Player_5,Team2_Player_6,Team2_Player_7,Team2_Player_8,Team2_Player_9,Team2_Player_10,Team2_Player_11,Match_Winner
335982,2008-04-18,Royal Challengers Bengaluru vs Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,,0.6,0.5,0.0,R Dravid|W Jaffer|V Kohli|JH Kallis|CL White|MV Boucher|B Akhil|AA Noffke|P Kumar|Z Khan|SB Joshi,SC Ganguly|BB McCullum|RT Ponting|DJ Hussey|Mohammad Hafeez|LR Shukla|WP Saha|AB Agarkar|AB Dinda|M Kartik|I Sharma,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,R Dravid,W Jaffer,V Kohli,JH Kallis,CL White,MV Boucher,B Akhil,AA Noffke,P Kumar,Z Khan,SB Joshi,SC Ganguly,BB McCullum,RT Ponting,DJ Hussey,Mohammad Hafeez,LR Shukla,WP Saha,AB Agarkar,AB Dinda,M Kartik,I Sharma,Kolkata Knight Riders
335983,2008-04-19,Punjab Kings vs Chennai Super Kings,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,,0.2,0.5,0.0,K Goel|JR Hopes|KC Sangakkara|Yuvraj Singh|SM Katich|IK Pathan|P Dharmani|B Lee|PP Chawla|WA Mota|S Sreesanth,PA Patel|ML Hayden|MEK Hussey|MS Dhoni|SK Raina|JDP Oram|S Badrinath|Joginder Sharma|P Amarnath|MS Gony|M Muralitharan,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,K Goel,JR Hopes,KC Sangakkara,Yuvraj Singh,SM Katich,IK Pathan,P Dharmani,B Lee,PP Chawla,WA Mota,S Sreesanth,PA Patel,ML Hayden,MEK Hussey,MS Dhoni,SK Raina,JDP Oram,S Badrinath,Joginder Sharma,P Amarnath,MS Gony,M Muralitharan,Chennai Super Kings
335984,2008-04-19,Delhi Capitals vs Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,,0.4,0.5,0.0,G Gambhir|V Sehwag|S Dhawan|MK Tiwary|KD Karthik|R Bhatia|M Manhas|DL Vettori|MF Maharoof|B Geeves|GD McGrath,T Kohli|YK Pathan|SR Watson|M Kaif|DS Lehmann|RA Jadeja|M Rawat|D Salunkhe|SK Warne|SK Trivedi|MM Patel,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,G Gambhir,V Sehwag,S Dhawan,MK Tiwary,KD Karthik,R Bhatia,M Manhas,DL Vettori,MF Maharoof,B Geeves,GD McGrath,T Kohli,YK Pathan,SR Watson,M Kaif,DS Lehmann,RA Jadeja,M Rawat,D Salunkhe,SK Warne,SK Trivedi,MM Patel,Delhi Capitals
335985,2008-04-20,Mumbai Indians vs Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,,0.6,0.5,0.0,L Ronchi|ST Jayasuriya|DJ Thornely|RV Uthappa|PR Shah|AM Nayar|SM Pollock|Harbhajan Singh|MA Khote|A Nehra|DS Kulkarni,S Chanderpaul|R Dravid|LRPL Taylor|JH Kallis|V Kohli|MV Boucher|B Akhil|P Kumar|Z Khan|SB Joshi|R Vinay Kumar,1000.0,992.7272727272727,1000.0,1000.0,1000.0,990.0,7.272727272727252,L Ronchi,ST Jayasuriya,DJ Thornely,RV Uthappa,PR Shah,AM Nayar,SM Pollock,Harbhajan Singh,MA Khote,A Nehra,DS Kulkarni,S Chanderpaul,R Dravid,LRPL Taylor,JH Kallis,V Kohli,MV Boucher,B Akhil,P Kumar,Z Khan,SB Joshi,R Vinay Kumar,Royal Challengers Bengaluru
335987,2008-04-21,Rajasthan Royals vs Punjab Kings,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,,0.4,0.5,0.0,M Kaif|Kamran Akmal|YK Pathan|SR Watson|DS Lehmann|RA Jadeja|Pankaj Singh|D Salunkhe|SK Warne|SK Trivedi|MM Patel,K Goel|JR Hopes|KC Sangakkara|DPMD Jayawardene|Yuvraj Singh|IK Pathan|S Sohal|B Lee|PP Chawla|WA Mota|S Sreesanth,991.8181818181819,991.8181818181819,1000.0,1000.0,990.0,990.0,0.0,M Kaif,Kamran Akmal,YK Pathan,SR Watson,DS Lehmann,RA Jadeja,Pankaj Singh,D Salunkhe,SK Warne,SK Trivedi,MM Patel,K Goel,JR Hopes,KC Sangakkara,DPMD Jayawardene,Yuvraj Singh,IK Pathan,S Sohal,B Lee,PP Chawla,WA Mota,S Sreesanth,Rajasthan Royals
335989,2008-04-23,Chennai Super Kings vs Mumbai Indians,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,,0.4,0.5,0.0,PA Patel|ML Hayden|MEK Hussey|SK Raina|MS Dhoni|JDP Oram|S Badrinath|Joginder Sharma|P Amarnath|MS Gony|M Muralitharan,L Ronchi|ST Jayasuriya|RV Uthappa|SM Pollock|DJ Bravo|AM Nayar|MA Khote|Harbhajan Singh|A Nehra|VS Yeligati|DS Kulkarni,1010.0,991.6469401688203,1010.0,1000.0,1010.0,989.7907046507802,18.353059831179735,PA Patel,ML Hayden,MEK Hussey,SK Raina,MS Dhoni,JDP Oram,S Badrinath,Joginder Sharma,P Amarnath,MS Gony,M Muralitharan,L Ronchi,ST Jayasuriya,RV Uthappa,SM Pollock,DJ Bravo,AM Nayar,MA Khote,Harbhajan Singh,A Nehra,VS Yeligati,DS Kulkarni,Chennai Super Kings
335991,2008-04-25,Punjab Kings vs Mumbai Indians,Punjab Kings,Mumbai Indians,Mumbai Indians,field,0.0,0.4,0.3333333333333333,-0.33333333333333337,K Goel|IK Pathan|KC Sangakkara|Yuvraj Singh|RR Sarwan|DPMD Jayawardene|S Sohal|B Lee|PP Chawla|S Sreesanth|VRV Singh,L Ronchi|ST Jayasuriya|RV Uthappa|DJ Bravo|SS Tiwary|SM Pollock|AM Nayar|Harbhajan Singh|MA Khote|DS Kulkarni|A Nehra,985.4545454545455,983.0358062901494,1000.0,1000.0,980.0,980.318457384242,2.418739164396129,K Goel,IK Pathan,KC Sangakkara,Yuvraj Singh,RR Sarwan,DPMD Jayawardene,S Sohal,B Lee,PP Chawla,S Sreesanth,VRV Singh,L Ronchi,ST Jayasuriya,RV Uthappa,DJ Bravo,SS Tiwary,SM Pollock,AM Nayar,Harbhajan Singh,MA Khote,DS Kulkarni,A Nehra,Punjab Kings
335992,2008-04-26,Royal Challengers Bengaluru vs Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,0.0,0.6,0.3333333333333333,-0.33333333333333337,S Chanderpaul|R Dravid|LRPL Taylor|JH Kallis|V Kohli|MV Boucher|P Kumar|SB Joshi|Z Khan|R Vinay Kumar|A Kumble,GC Smith|M Rawat|YK Pathan|SR Watson|M Kaif|RA Jadeja|D Salunkhe|SK Warne|Sohail Tanvir|SK Trivedi|MM Patel,1002.9175412265635,999.0909090909091,1010.2092953492198,1000.0,1000.0,990.0,3.826632135654336,S Chanderpaul,R Dravid,LRPL Taylor,JH Kallis,V Kohli,MV Boucher,P Kumar,SB Joshi,Z Khan,R Vinay Kumar,A Kumble,GC Smith,M Rawat,YK Pathan,SR Watson,M Kaif,RA Jadeja,D Salunkhe,SK Warne,Sohail Tanvir,SK Trivedi,MM Patel,Rajasthan Royals
335993,2008-04-26,Chennai Super Kings vs Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,1.0,0.8,0.3333333333333333,-0.33333333333333337,PA Patel|ML Hayden|MS Dhoni|MEK Hussey|S Badrinath|SK Raina|JDP Oram|Joginder Sharma|P Amarnath|MS Gony|M Muralitharan,SC Ganguly|BB McCullum|RT Ponting|WP Saha|DJ Hussey|Mohammad Hafeez|LR Shukla|AB Agarkar|M Kartik|I Sharma|AB Dinda,1019.4722472665381,1010.0,1019.4722472665381,1010.0,1019.4722472665381,1010.0,9.472247266538147,PA Patel,ML Hayden,MS Dhoni,MEK Hussey,S Badrinath,SK Raina,JDP Oram,Joginder Sharma,P Amarnath,MS Gony,M Muralitharan,SC Ganguly,BB McCullum,RT Ponting,WP Saha,DJ Hussey,Mohammad Hafeez,LR Shukla,AB Agarkar,M Kartik,I Sharma,AB Dinda,Chennai Super Kings
335995,2008-04-27,Punjab Kings vs Delhi Capitals,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,0.5,0.2,0.25,-0.5,K Goel|SM Katich|KC Sangakkara|DPMD Jayawardene|Yuvraj Singh|TM Srivastava|IK Pathan|B Lee|PP Chawla|S Sreesanth|VRV Singh,G Gambhir|V Sehwag|S Dhawan|Shoaib Malik|MK Tiwary|KD Karthik|R Bhatia|MF Maharoof|VY Mahesh|Mohammad Asif|GD McGrath,993.5794052671008,1007.2727272727273,1009.9303842153454,1010.0,989.9303842153454,1000.0,-13.693322005626442,K Goel,SM Katich,KC Sangakkara,DPMD Jayawardene,Yuvraj Singh,TM Srivastava,IK Pathan,B Lee,PP Chawla,S Sreesanth,VRV Singh,G Gambhir,V Sehwag,S Dhawan,Shoaib Malik,MK Tiwary,KD Karthik,R Bhatia,MF Maharoof,VY Mahesh,Mohammad Asif,GD McGrath,Punjab Kings
