iter	Passed	Remaining
0	960	1343262
1	1685	1178322
2	2415	1124676
3	3476	1213352
4	4117	1148909
5	5182	1204161
6	6772	1347760
7	7468	1299455
8	8135	1257346
9	8911	1238666
10	9678	1222190
11	10408	1203908
12	11467	1223544
13	12390	1226621
14	13209	1219659
15	14065	1216673
16	14782	1202588
17	15570	1195457
18	15604	1134179
19	16409	1132272
20	17309	1136632
21	18439	1154996
22	19109	1144092
23	20135	1154450
24	21115	1161325
25	22153	1170703
26	23049	1172124
27	24187	1185201
28	25057	1184632
29	26094	1191641
30	26796	1183349
31	27630	1181223
32	28582	1184029
33	29696	1193095
34	30723	1198201
35	31640	1198827
36	32912	1212436
37	33822	1212261
38	34567	1206311
39	35563	1209153
40	36617	1213724
41	37380	1208623
42	38280	1208075
43	39232	1209072
44	40289	1213159
45	41230	1213617
46	42166	1213859
47	43113	1214365
48	44059	1214788
49	44930	1213112
50	45789	1211176
51	46645	1209203
52	47631	1210561
53	48593	1211234
54	49594	1212806
55	50700	1216809
56	51588	1215508
57	52505	1214863
58	53694	1220421
59	54797	1223811
60	55671	1222040
61	56714	1223941
62	57515	1220610
63	58463	1220425
64	59559	1223251
65	60570	1224263
66	61763	1228823
67	62671	1227633
68	63673	1228257
69	65143	1237725
70	66730	1249078
71	67517	1245331
72	68411	1243585
73	69421	1243956
74	70662	1248368
75	72002	1254360
76	73908	1269876
77	75151	1273728
78	76282	1275556
79	77788	1283514
80	78598	1279900
81	79630	1279921
82	80708	1280646
83	81950	1283895
84	82825	1281358
85	83483	1275553
86	84726	1278686
87	85817	1279460
88	87010	1281690
89	88152	1283108
90	89095	1281605
91	90070	1280572
92	91335	1283605
93	92074	1279252
94	92985	1277330
95	93735	1273239
96	94731	1272532
97	95901	1274125
98	97222	1277646
99	98073	1274957
100	99171	1275480
101	100044	1273110
102	101189	1274200
103	102479	1277056
104	103434	1275696
105	104657	1277608
106	105755	1277958
107	106661	1275992
108	107679	1275360
109	108864	1276681
110	110150	1279130
111	111274	1279662
112	112383	1279981
113	113258	1277634
114	114165	1275674
115	115401	1277379
116	116776	1280550
117	118053	1282577
118	119658	1288093
119	121093	1291662
120	122657	1296521
121	124154	1300567
122	125272	1300589
123	126673	1303516
124	128005	1305660
125	129656	1310970
126	130885	1311947
127	132164	1313389
128	133464	1314991
129	134618	1315115
130	135709	1314625
131	136677	1312932
132	137454	1309433
133	138677	1310190
134	139972	1311589
135	140932	1309842
136	141872	1307918
137	143033	1308034
138	144005	1306405
139	145139	1306255
140	146190	1305342
141	147551	1307180
142	148787	1307872
143	149652	1305298
144	150722	1304533
145	151953	1305134
146	153070	1304746
147	154288	1305196
148	155401	1304743
149	156372	1303102
150	157446	1302323
151	158438	1300863
152	159430	1299407
153	160351	1297390
154	161605	1298059
155	162586	1296524
156	163659	1295724
157	164720	1294824
158	165827	1294289
159	166833	1292956
160	167812	1291426
161	168790	1289890
162	169992	1290066
163	170939	1288302
164	172274	1289447
165	173594	1290452
166	175283	1294162
167	176870	1297053
168	178725	1301840
169	180339	1304808
170	181848	1306968
171	183255	1308357
172	184595	1309241
173	186256	1312358
174	188395	1318765
175	189496	1317858
176	190373	1315402
177	191701	1316065
178	192820	1315271
179	193948	1314541
180	195154	1314328
181	196137	1312614
182	197397	1312750
183	198443	1311455
184	199608	1310940
185	201178	1313068
186	202454	1313250
187	204071	1315612
188	205420	1316210
189	206737	1316593
190	207974	1316443
191	208801	1313707
192	210039	1313564
193	211329	1313727
194	212524	1313293
195	213676	1312581
196	214823	1311838
197	215842	1310317
198	216991	1309582
199	218123	1308743
200	219317	1308265
201	220521	1307848
202	221685	1307182
203	222842	1306466
204	224105	1306368
205	225478	1306899
206	226657	1306292
207	227754	1305207
208	228956	1304722
209	229982	1303236
210	231186	1302750
211	232420	1302433
212	233203	1299587
213	234299	1298501
214	235373	1297290
215	236490	1296317
216	237721	1295964
217	238687	1294167
218	239918	1293806
219	240689	1290970
220	241887	1290431
221	242848	1288628
222	244016	1287927
223	244836	1285394
224	245782	1283531
225	247229	1284280
226	248434	1283761
227	249809	1284109
228	250993	1283462
229	252270	1283287
230	253308	1281894
231	254402	1280783
232	255414	1279265
233	256606	1278645
234	257697	1277520
235	258850	1276703
236	259992	1275829
237	261114	1274853
238	262216	1273781
239	263116	1271729
240	264190	1270526
241	265000	1268059
242	266051	1266755
243	267264	1266221
244	268508	1265826
245	269633	1264865
246	270790	1264052
247	271935	1263186
248	273111	1262454
249	274055	1260654
250	275195	1259757
251	276051	1257566
252	276860	1255176
253	278182	1255106
254	279193	1253632
255	280309	1252632
256	281263	1250909
257	282004	1248252
258	282853	1246086
259	283989	1245185
260	285004	1243755
261	286144	1242873
262	286967	1240615
263	288105	1239726
264	289460	1239764
265	290287	1237542
266	291387	1236488
267	292374	1234953
268	293597	1234419
269	294736	1233528
270	295398	1230646
271	296211	1228405
272	297040	1226245
273	298216	1225519
274	299371	1224700
275	300322	1223051
276	301407	1221951
277	302241	1219837
278	303106	1217857
279	304082	1216331
280	305190	1215330
281	306103	1213559
282	307336	1213054
283	308881	1213771
284	310081	1213126
285	311057	1211601
286	312207	1210757
287	313233	1209429
288	314463	1208890
289	315350	1207031
290	316425	1205895
291	317761	1205752
292	319080	1205536
293	320304	1204955
294	321533	1204388
295	322849	1204139
296	323915	1202957
297	325092	1202187
298	326188	1201116
299	327272	1199999
300	328147	1198120
301	329077	1196446
302	330182	1195414
303	331446	1194951
304	332243	1192807
305	333126	1190983
306	333785	1188364
307	334660	1186523
308	335600	1184918
309	336640	1183672
310	337667	1182380
311	338462	1180280
312	339852	1180254
313	340663	1178217
314	341359	1175793
315	342466	1174790
316	343593	1173855
317	344694	1172826
318	345901	1172162
319	347035	1171245
320	347923	1169498
321	349213	1169105
322	350034	1167142
323	351140	1166134
324	352044	1164453
325	352997	1162941
326	354316	1162635
327	355473	1161792
328	356461	1160395
329	357744	1159958
330	358680	1158398
331	359869	1157653
332	360951	1156561
333	362041	1155498
334	363008	1154042
335	363977	1152594
336	365176	1151877
337	366034	1150084
338	367129	1149038
339	368192	1147893
340	369363	1147086
341	370129	1145020
342	371085	1143548
343	372322	1142943
344	373334	1141646
345	374441	1140640
346	375411	1139216
347	376587	1138420
348	377258	1136100
349	378448	1135345
350	379411	1133911
351	380579	1133088
352	381497	1131522
353	382300	1129621
354	383080	1127660
355	384047	1126252
356	385410	1126003
357	386501	1124956
358	387307	1123084
359	388472	1122255
