match_id,date,teams,team1,team2,toss_winner,toss_decision,team1_form_winrate_5,team2_form_winrate_5,venue_chase_winrate_prior,venue_score_prior,match_winner,match_id.1,stadium,pitch_type,grass_cover,moisture,dew_prediction,bounce_and_carry,is_high_dew,toss_advantage,target,team1_players,team2_players,t1_bat_avg,t1_bat_sr,t1_bowl_eco,t1_bowl_sr,t2_bat_avg,t2_bat_sr,t2_bowl_eco,t2_bowl_sr
335982,2008-04-18,Royal Challengers Bengaluru vs Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,,0.4,0.5,0.0,Kolkata Knight Riders,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,R Dravid|W Jaffer|V Kohli|JH Kallis|CL White|MV Boucher|B Akhil|AA Noffke|P Kumar|Z Khan|SB Joshi,SC Ganguly|BB McCullum|RT Ponting|DJ Hussey|Mohammad Hafeez|LR Shukla|WP Saha|AB Agarkar|AB Dinda|M Kartik|I Sharma,25.0,125.0,8.5,20.0,25.0,125.0,8.5,20.0
335983,2008-04-19,Punjab Kings vs Chennai Super Kings,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,,0.4,0.5,0.0,Chennai Super Kings,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,K Goel|JR Hopes|KC Sangakkara|Yuvraj Singh|SM Katich|IK Pathan|P Dharmani|B Lee|PP Chawla|WA Mota|S Sreesanth,PA Patel|ML Hayden|MEK Hussey|MS Dhoni|SK Raina|JDP Oram|S Badrinath|Joginder Sharma|P Amarnath|MS Gony|M Muralitharan,25.0,125.0,8.5,20.0,25.0,125.0,8.5,20.0
335984,2008-04-19,Delhi Capitals vs Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,,0.4,0.5,0.0,Delhi Capitals,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,1,G Gambhir|V Sehwag|S Dhawan|MK Tiwary|KD Karthik|R Bhatia|M Manhas|DL Vettori|MF Maharoof|B Geeves|GD McGrath,T Kohli|YK Pathan|SR Watson|M Kaif|DS Lehmann|RA Jadeja|M Rawat|D Salunkhe|SK Warne|SK Trivedi|MM Patel,25.0,125.0,8.5,20.0,25.0,125.0,8.5,20.0
335985,2008-04-20,Mumbai Indians vs Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,,0.4,0.5,0.0,Royal Challengers Bengaluru,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,L Ronchi|ST Jayasuriya|DJ Thornely|RV Uthappa|PR Shah|AM Nayar|SM Pollock|Harbhajan Singh|MA Khote|A Nehra|DS Kulkarni,S Chanderpaul|R Dravid|LRPL Taylor|JH Kallis|V Kohli|MV Boucher|B Akhil|P Kumar|Z Khan|SB Joshi|R Vinay Kumar,25.0,125.0,8.5,20.0,25.0,125.0,8.5,20.0
335987,2008-04-21,Rajasthan Royals vs Punjab Kings,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,,0.2,0.5,0.0,Rajasthan Royals,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,1,M Kaif|Kamran Akmal|YK Pathan|SR Watson|DS Lehmann|RA Jadeja|Pankaj Singh|D Salunkhe|SK Warne|SK Trivedi|MM Patel,K Goel|JR Hopes|KC Sangakkara|DPMD Jayawardene|Yuvraj Singh|IK Pathan|S Sohal|B Lee|PP Chawla|WA Mota|S Sreesanth,25.0,125.0,8.5,20.0,25.0,125.0,8.5,20.0
335989,2008-04-23,Chennai Super Kings vs Mumbai Indians,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,,0.4,0.5,0.0,Chennai Super Kings,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,1,PA Patel|ML Hayden|MEK Hussey|SK Raina|MS Dhoni|JDP Oram|S Badrinath|Joginder Sharma|P Amarnath|MS Gony|M Muralitharan,L Ronchi|ST Jayasuriya|RV Uthappa|SM Pollock|DJ Bravo|AM Nayar|MA Khote|Harbhajan Singh|A Nehra|VS Yeligati|DS Kulkarni,25.0,125.0,8.5,20.0,25.0,125.0,8.5,20.0
335991,2008-04-25,Punjab Kings vs Mumbai Indians,Punjab Kings,Mumbai Indians,Mumbai Indians,field,0.0,0.4,0.3333333333333333,-0.3333333333333333,Punjab Kings,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,1,K Goel|IK Pathan|KC Sangakkara|Yuvraj Singh|RR Sarwan|DPMD Jayawardene|S Sohal|B Lee|PP Chawla|S Sreesanth|VRV Singh,L Ronchi|ST Jayasuriya|RV Uthappa|DJ Bravo|SS Tiwary|SM Pollock|AM Nayar|Harbhajan Singh|MA Khote|DS Kulkarni|A Nehra,25.0,125.0,8.5,20.0,25.0,125.0,8.5,20.0
335992,2008-04-26,Royal Challengers Bengaluru vs Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,0.0,0.6,0.3333333333333333,-0.3333333333333333,Rajasthan Royals,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,S Chanderpaul|R Dravid|LRPL Taylor|JH Kallis|V Kohli|MV Boucher|P Kumar|SB Joshi|Z Khan|R Vinay Kumar|A Kumble,GC Smith|M Rawat|YK Pathan|SR Watson|M Kaif|RA Jadeja|D Salunkhe|SK Warne|Sohail Tanvir|SK Trivedi|MM Patel,25.0,125.0,8.5,20.0,25.0,125.0,8.5,20.0
335993,2008-04-26,Chennai Super Kings vs Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,1.0,0.4,0.3333333333333333,-0.3333333333333333,Chennai Super Kings,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,1,PA Patel|ML Hayden|MS Dhoni|MEK Hussey|S Badrinath|SK Raina|JDP Oram|Joginder Sharma|P Amarnath|MS Gony|M Muralitharan,SC Ganguly|BB McCullum|RT Ponting|WP Saha|DJ Hussey|Mohammad Hafeez|LR Shukla|AB Agarkar|M Kartik|I Sharma|AB Dinda,25.0,125.0,8.5,20.0,25.0,125.0,8.5,20.0
335995,2008-04-27,Punjab Kings vs Delhi Capitals,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,0.5,0.6,0.25,-0.5,Punjab Kings,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,1,K Goel|SM Katich|KC Sangakkara|DPMD Jayawardene|Yuvraj Singh|TM Srivastava|IK Pathan|B Lee|PP Chawla|S Sreesanth|VRV Singh,G Gambhir|V Sehwag|S Dhawan|Shoaib Malik|MK Tiwary|KD Karthik|R Bhatia|MF Maharoof|VY Mahesh|Mohammad Asif|GD McGrath,25.0,125.0,8.5,20.0,25.0,125.0,8.5,20.0
