match_id,date,team1,team2,venue,toss_winner,toss_decision,is_high_dew,pitch_type,bounce_and_carry,team1_win_rate,team2_win_rate,venue_avg_first_innings,venue_bat_first_win_rate,toss_advantage,winner,target
1082591,2017-04-05,Sunrisers Hyderabad,Royal Challengers Bengaluru,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bengaluru,field,0,Unknown,Unknown,0.5,0.5,160.0,0.5,0,Sunrisers Hyderabad,1
1082595,2017-04-08,Royal Challengers Bengaluru,Delhi Capitals,M.Chinnaswamy Stadium,Royal Challengers Bengaluru,bat,0,Unknown,Unknown,0.0,0.5,160.0,0.5,0,Royal Challengers Bengaluru,1
1082597,2017-04-09,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,field,0,Unknown,Unknown,0.5,0.5,160.0,0.5,0,Mumbai Indians,1
1082598,2017-04-10,Punjab Kings,Royal Challengers Bengaluru,Holkar Cricket Stadium,Royal Challengers Bengaluru,bat,0,Unknown,Unknown,0.5,0.5,160.0,0.5,0,Punjab Kings,1
1082600,2017-04-12,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Mumbai Indians,field,0,Unknown,Unknown,1.0,1.0,178.0,0.0,0,Mumbai Indians,1
1082601,2017-04-13,Kolkata Knight Riders,Punjab Kings,Eden Gardens,Kolkata Knight Riders,field,0,Unknown,Unknown,0.0,1.0,160.0,0.5,0,Kolkata Knight Riders,1
1082602,2017-04-14,Royal Challengers Bengaluru,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,field,0,Unknown,Unknown,0.3333333333333333,1.0,160.0,0.5,0,Mumbai Indians,0
1082604,2017-04-15,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,field,0,Unknown,Unknown,0.5,0.5,170.0,0.0,0,Kolkata Knight Riders,1
1082605,2017-04-15,Delhi Capitals,Punjab Kings,Feroz Shah Kotla,Delhi Capitals,bat,0,Unknown,Unknown,0.0,0.5,160.0,0.5,0,Delhi Capitals,1
1082608,2017-04-17,Delhi Capitals,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Capitals,bat,0,Unknown,Unknown,0.5,0.6666666666666666,188.0,1.0,0,Kolkata Knight Riders,0
1082609,2017-04-17,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal",Punjab Kings,field,0,Unknown,Unknown,0.3333333333333333,0.3333333333333333,207.0,1.0,0,Sunrisers Hyderabad,1
1082611,2017-04-19,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,bat,0,Unknown,Unknown,0.5,0.3333333333333333,183.0,1.0,0,Sunrisers Hyderabad,1
1082612,2017-04-20,Punjab Kings,Mumbai Indians,Holkar Cricket Stadium,Mumbai Indians,field,0,Unknown,Unknown,0.25,1.0,148.0,0.0,0,Mumbai Indians,0
1082614,2017-04-22,Mumbai Indians,Delhi Capitals,Wankhede Stadium,Delhi Capitals,field,0,Unknown,Unknown,1.0,0.25,168.0,0.0,0,Mumbai Indians,1
1082617,2017-04-23,Kolkata Knight Riders,Royal Challengers Bengaluru,Eden Gardens,Royal Challengers Bengaluru,field,0,Unknown,Unknown,0.75,0.25,171.0,0.5,0,Kolkata Knight Riders,1
1082622,2017-04-28,Kolkata Knight Riders,Delhi Capitals,Eden Gardens,Kolkata Knight Riders,field,0,Unknown,Unknown,0.8,0.2,157.66666666666666,0.6666666666666666,0,Kolkata Knight Riders,1
1082623,2017-04-28,Punjab Kings,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Kings,field,0,Unknown,Unknown,0.2,0.6,160.0,0.5,0,Sunrisers Hyderabad,0
1082626,2017-04-30,Punjab Kings,Delhi Capitals,"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Kings,field,0,Unknown,Unknown,0.16666666666666666,0.16666666666666666,207.0,1.0,0,Punjab Kings,1
1082627,2017-04-30,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,field,0,Unknown,Unknown,0.6666666666666666,0.8333333333333334,185.66666666666666,1.0,0,Sunrisers Hyderabad,1
1082628,2017-05-01,Mumbai Indians,Royal Challengers Bengaluru,Wankhede Stadium,Royal Challengers Bengaluru,bat,0,Unknown,Unknown,1.0,0.2,159.33333333333334,0.3333333333333333,0,Mumbai Indians,1
1082630,2017-05-02,Delhi Capitals,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi Capitals,field,0,Unknown,Unknown,0.14285714285714285,0.7142857142857143,178.0,0.5,0,Delhi Capitals,1
1082633,2017-05-05,Royal Challengers Bengaluru,Punjab Kings,M Chinnaswamy Stadium,Royal Challengers Bengaluru,field,0,Unknown,Unknown,0.16666666666666666,0.2857142857142857,142.0,0.0,0,Punjab Kings,0
1082635,2017-05-06,Delhi Capitals,Mumbai Indians,Feroz Shah Kotla,Delhi Capitals,field,0,Unknown,Unknown,0.25,1.0,180.33333333333334,0.3333333333333333,0,Mumbai Indians,0
1082636,2017-05-07,Royal Challengers Bengaluru,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders,field,0,Unknown,Unknown,0.14285714285714285,0.7142857142857143,140.0,0.5,0,Kolkata Knight Riders,0
1082638,2017-05-08,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,bat,0,Unknown,Unknown,0.625,1.0,191.5,1.0,0,Sunrisers Hyderabad,1
1082639,2017-05-09,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kolkata Knight Riders,field,0,Unknown,Unknown,0.375,0.75,137.0,0.5,0,Punjab Kings,1
1082641,2017-05-11,Mumbai Indians,Punjab Kings,Wankhede Stadium,Mumbai Indians,field,0,Unknown,Unknown,0.875,0.4444444444444444,160.0,0.25,0,Punjab Kings,0
1082644,2017-05-13,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata Knight Riders,field,0,Unknown,Unknown,0.6666666666666666,0.7777777777777778,158.25,0.5,0,Mumbai Indians,0
1082646,2017-05-14,Delhi Capitals,Royal Challengers Bengaluru,Feroz Shah Kotla,Royal Challengers Bengaluru,bat,0,Unknown,Unknown,0.2222222222222222,0.125,188.25,0.5,0,Royal Challengers Bengaluru,0
1082648,2017-05-17,Sunrisers Hyderabad,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders,field,0,Unknown,Unknown,0.6666666666666666,0.6,146.0,0.3333333333333333,0,Kolkata Knight Riders,0
1082649,2017-05-19,Mumbai Indians,Kolkata Knight Riders,M Chinnaswamy Stadium,Mumbai Indians,field,0,Unknown,Unknown,0.8,0.6363636363636364,141.5,0.25,0,Mumbai Indians,1
1136561,2018-04-07,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,field,0,Unknown,Unknown,0.8181818181818182,0.5,174.0,0.4,0,Chennai Super Kings,0
1136562,2018-04-08,Delhi Capitals,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,field,0,Unknown,Unknown,0.2,0.5,160.0,0.5,0,Punjab Kings,0
1136563,2018-04-08,Royal Challengers Bengaluru,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,field,0,Unknown,Unknown,0.2222222222222222,0.5833333333333334,161.2,0.6,0,Kolkata Knight Riders,0
1136564,2018-04-09,Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,field,0,Unknown,Unknown,0.5,0.6,160.0,0.5,0,Sunrisers Hyderabad,0
1136565,2018-04-10,Kolkata Knight Riders,Chennai Super Kings,MA Chidambaram Stadium,Chennai Super Kings,field,0,Unknown,Unknown,0.6153846153846154,1.0,160.0,0.5,0,Chennai Super Kings,0
1136566,2018-04-11,Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,Delhi Capitals,field,0,Unknown,Unknown,0.0,0.18181818181818182,160.0,0.5,0,Rajasthan Royals,1
1136567,2018-04-12,Mumbai Indians,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,field,0,Unknown,Unknown,0.75,0.6363636363636364,125.0,0.0,0,Sunrisers Hyderabad,0
1136568,2018-04-13,Punjab Kings,Royal Challengers Bengaluru,M.Chinnaswamy Stadium,Royal Challengers Bengaluru,field,0,Unknown,Unknown,0.5454545454545454,0.2,157.0,1.0,0,Royal Challengers Bengaluru,0
1136569,2018-04-14,Mumbai Indians,Delhi Capitals,Wankhede Stadium,Delhi Capitals,field,0,Unknown,Unknown,0.6923076923076923,0.16666666666666666,172.5,0.3333333333333333,0,Delhi Capitals,0
1136570,2018-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,field,0,Unknown,Unknown,0.5714285714285714,0.6666666666666666,163.66666666666666,0.5,0,Sunrisers Hyderabad,0
1136571,2018-04-15,Rajasthan Royals,Royal Challengers Bengaluru,M.Chinnaswamy Stadium,Royal Challengers Bengaluru,field,0,Unknown,Unknown,0.5,0.2727272727272727,156.0,0.5,0,Rajasthan Royals,1
1136572,2018-04-15,Punjab Kings,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,field,0,Unknown,Unknown,0.5,1.0,166.0,0.0,0,Punjab Kings,1
1136573,2018-04-16,Kolkata Knight Riders,Delhi Capitals,Eden Gardens,Delhi Capitals,field,0,Unknown,Unknown,0.5333333333333333,0.23076923076923078,160.0,0.42857142857142855,0,Kolkata Knight Riders,1
1136574,2018-04-17,Mumbai Indians,Royal Challengers Bengaluru,Wankhede Stadium,Royal Challengers Bengaluru,field,0,Unknown,Unknown,0.6428571428571429,0.25,175.57142857142858,0.2857142857142857,0,Mumbai Indians,1
1136575,2018-04-18,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders,field,0,Unknown,Unknown,0.6666666666666666,0.5625,153.0,1.0,0,Kolkata Knight Riders,0
1136576,2018-04-19,Punjab Kings,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,bat,0,Unknown,Unknown,0.5384615384615384,0.6923076923076923,181.5,0.5,0,Punjab Kings,1
1136577,2018-04-20,Chennai Super Kings,Rajasthan Royals,Maharashtra Cricket Association Stadium,Rajasthan Royals,field,0,Unknown,Unknown,0.6666666666666666,0.5,160.0,0.5,0,Chennai Super Kings,1
1136578,2018-04-21,Kolkata Knight Riders,Punjab Kings,Eden Gardens,Punjab Kings,field,0,Unknown,Unknown,0.5882352941176471,0.5714285714285714,165.0,0.5,0,Punjab Kings,0
1136579,2018-04-21,Delhi Capitals,Royal Challengers Bengaluru,M.Chinnaswamy Stadium,Royal Challengers Bengaluru,field,0,Unknown,Unknown,0.21428571428571427,0.23076923076923078,176.33333333333334,0.6666666666666666,0,Royal Challengers Bengaluru,0
1136580,2018-04-22,Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,field,0,Unknown,Unknown,0.75,0.6428571428571429,136.0,0.0,0,Chennai Super Kings,1
1136581,2018-04-22,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Mumbai Indians,bat,0,Unknown,Unknown,0.6666666666666666,0.4,156.5,0.5,0,Rajasthan Royals,0
1136582,2018-04-23,Punjab Kings,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals,field,0,Unknown,Unknown,0.6,0.2,160.0,0.5,0,Punjab Kings,1
1136583,2018-04-24,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Mumbai Indians,field,0,Unknown,Unknown,0.6,0.625,180.25,0.375,0,Sunrisers Hyderabad,1
1136584,2018-04-25,Royal Challengers Bengaluru,Chennai Super Kings,M.Chinnaswamy Stadium,Chennai Super Kings,field,0,Unknown,Unknown,0.2857142857142857,0.8,175.75,0.5,0,Chennai Super Kings,0
1136585,2018-04-26,Sunrisers Hyderabad,Punjab Kings,Rajiv Gandhi International Stadium,Punjab Kings,field,0,Unknown,Unknown,0.625,0.625,151.33333333333334,0.3333333333333333,0,Sunrisers Hyderabad,1
1136586,2018-04-27,Delhi Capitals,Kolkata Knight Riders,Arun Jaitley Stadium,Kolkata Knight Riders,field,0,Unknown,Unknown,0.1875,0.5555555555555556,143.0,1.0,0,Delhi Capitals,1
1136587,2018-04-28,Chennai Super Kings,Mumbai Indians,Maharashtra Cricket Association Stadium,Mumbai Indians,field,0,Unknown,Unknown,0.8333333333333334,0.5882352941176471,204.0,1.0,0,Mumbai Indians,0
1136588,2018-04-29,Sunrisers Hyderabad,Rajasthan Royals,Sawai Mansingh Stadium,Sunrisers Hyderabad,bat,0,Unknown,Unknown,0.6470588235294118,0.5,160.0,0.3333333333333333,0,Sunrisers Hyderabad,1
1136589,2018-04-29,Royal Challengers Bengaluru,Kolkata Knight Riders,M.Chinnaswamy Stadium,Kolkata Knight Riders,field,0,Unknown,Unknown,0.26666666666666666,0.5263157894736842,181.6,0.4,0,Kolkata Knight Riders,0
1136590,2018-04-30,Chennai Super Kings,Delhi Capitals,Maharashtra Cricket Association Stadium,Delhi Capitals,field,0,Unknown,Unknown,0.7142857142857143,0.23529411764705882,186.5,0.5,0,Chennai Super Kings,1
1136591,2018-05-01,Royal Challengers Bengaluru,Mumbai Indians,M.Chinnaswamy Stadium,Mumbai Indians,field,0,Unknown,Unknown,0.25,0.6111111111111112,180.5,0.3333333333333333,0,Royal Challengers Bengaluru,1
1136592,2018-05-02,Delhi Capitals,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,field,0,Unknown,Unknown,0.2222222222222222,0.42857142857142855,181.0,1.0,0,Delhi Capitals,1
1136593,2018-05-03,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,field,0,Unknown,Unknown,0.75,0.55,167.88888888888889,0.4444444444444444,0,Kolkata Knight Riders,0
1136594,2018-05-04,Punjab Kings,Mumbai Indians,Holkar Cricket Stadium,Mumbai Indians,field,0,Unknown,Unknown,0.5882352941176471,0.5789473684210527,173.0,0.0,0,Mumbai Indians,0
1136595,2018-05-05,Royal Challengers Bengaluru,Chennai Super Kings,Maharashtra Cricket Association Stadium,Chennai Super Kings,field,0,Unknown,Unknown,0.29411764705882354,0.6666666666666666,194.66666666666666,0.6666666666666666,0,Chennai Super Kings,0
1136596,2018-05-05,Delhi Capitals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Delhi Capitals,bat,0,Unknown,Unknown,0.2631578947368421,0.6666666666666666,146.5,0.5,0,Sunrisers Hyderabad,0
1136597,2018-05-06,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,field,0,Unknown,Unknown,0.6,0.5714285714285714,173.33333333333334,0.4444444444444444,0,Mumbai Indians,1
