season,stats_comp_id,BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks,InningsRuns,ClientPlayerID
2020,10012,Kagiso Rabada,,,DC,Delhi Capitals,17,,17,,116,,548,156,,,18.26,13.13,13.13,,,8.34,65,,,,4,2,,,,,30,,,,4/21,4/21,1,,2,0,,0,,
2020,10012,Jasprit Bumrah,,,MI,Mumbai Indians,15,,15,,9,,404,175,,,14.96,13.33,13.33,,,6.73,60,,,,0,0,,,,,27,,,,4/14,4/14,2,,2,0,,0,,
2020,10012,Trent Boult,,,MI,Mumbai Indians,15,,15,,66,,457,157,,,18.28,13.76,13.76,,,7.97,57,,,,0,0,,,,,25,,,,4/18,4/18,3,,1,0,,0,,
2020,10012,Anrich Nortje,,,DC,Delhi Capitals,16,,16,,142,,512,160,,,23.27,16.63,16.63,,,8.39,61,,,,0,0,,,,,22,,,,3/33,3/33,0,,0,0,,0,,
2020,10012,Yuzvendra Chahal,,,RCB,Royal Challengers Bangalore,15,,15,,10,,405,118,,,19.28,16.33,16.33,,,7.08,57,,,,0,0,,,,,21,,,,4/25,4/25,0,,0,0,,0,,
2020,10012,Mohammad Shami,,,PBKS,Punjab Kings,14,,14,,47,,460,140,,,23.00,16.10,16.10,,,8.57,53,,,,0,0,,,,,20,,,,3/15,3/15,0,,0,0,,0,,
2020,10012,Jofra Archer,,,RR,Mumbai Indians,14,,14,,181,,365,175,,,18.25,16.70,16.70,,,6.55,55,,,,5,10,,,,,20,,,,3/15,3/15,0,,0,0,,0,,
2020,10012,Rashid Khan,,,SRH,Sunrisers Hyderabad,16,,16,,218,,344,168,,,17.20,19.20,19.20,,,5.37,64,,,,3,2,,,,,20,,,,3/19,3/19,1,,0,0,,0,,
2020,10012,Varun Chakaravarthy,,,KKR,Kolkata Knight Riders,13,,13,,140,,356,111,,,20.94,18.35,18.35,,,6.84,52,,,,0,0,,,,,17,,,,5/20,5/20,0,,0,1,,0,,
2020,10012,T Natarajan,,,SRH,Sunrisers Hyderabad,16,,16,,224,,504,136,,,31.50,23.56,23.56,,,8.02,63,,,,0,0,,,,,16,,,,2/24,2/24,1,,0,0,,0,,
2020,10012,Rahul Chahar,,,MI,Mumbai Indians,15,,15,,171,,433,104,,,28.86,21.20,21.20,,,8.16,53,,,,0,0,,,,,15,,,,4/27,4/27,0,,0,0,,0,,
2020,10012,Jason Holder,,,SRH,Sunrisers Hyderabad,7,,7,,263,,233,58,,,16.64,12.00,12.00,,,8.32,28,,,,5,3,,,,,14,,,,4/52,4/52,0,,0,0,,0,,
2020,10012,Sandeep Sharma,,,SRH,Sunrisers Hyderabad,13,,13,,220,,374,119,,,26.71,22.28,22.28,,,7.19,52,,,,1,0,,,,,14,,,,4/20,4/20,0,,0,0,,0,,
2020,10012,Marcus Stoinis,,,DC,Delhi Capitals,17,,13,,23,,283,50,,,21.76,13.69,13.69,,,9.53,29,,,,31,16,,,,,13,,,,4/15,4/15,0,,0,0,,0,,
2020,10012,Ravichandran Ashwin,,,DC,Delhi Capitals,15,,15,,45,,391,101,,,30.07,23.53,23.53,,,7.66,51,,,,3,1,,,,,13,,,,4/34,4/34,0,,0,0,,0,,
2020,10012,Sam Curran,,,CSK,Chennai Super Kings,14,,13,,138,,344,91,,,26.46,19.38,19.38,,,8.19,42,,,,12,12,,,,,13,,,,4/11,4/11,0,,0,0,,0,,
2020,10012,Pat Cummins,,,KKR,Kolkata Knight Riders,14,,14,,33,,409,140,,,34.08,26.00,26.00,,,7.86,52,,,,9,8,,,,,12,,,,4/34,4/34,0,,1,0,,0,,
2020,10012,Ravi Bishnoi,,,PBKS,Punjab Kings,14,,14,,520,,376,122,,,31.33,25.50,25.50,,,7.37,51,,,,1,0,,,,,12,,,,3/24,3/24,1,,0,0,,0,,
2020,10012,Deepak Chahar,,,CSK,Chennai Super Kings,14,,14,,91,,396,118,,,33.00,26.00,26.00,,,7.61,52,,,,0,0,,,,,12,,,,4/13,4/13,2,,0,0,,0,,
2020,10012,Mohammed Siraj,,,RCB,Royal Challengers Bangalore,9,,9,,63,,236,77,,,21.45,14.81,14.81,,,8.68,27,,,,2,0,,,,,11,,,,4/32,4/32,2,,0,0,,0,,
2020,10012,James Pattinson,,,MI,Mumbai Indians,10,,10,,545,,320,78,,,29.09,19.36,19.36,,,9.01,35,,,,2,0,,,,,11,,,,2/19,2/19,0,,0,0,,0,,
2020,10012,Chris Morris,,,RCB,Royal Challengers Bangalore,9,,9,,112,,210,91,,,19.09,17.27,17.27,,,6.63,31,,,,2,3,,,,,11,,,,4/23,4/23,1,,1,0,,0,,
2020,10012,Shreyas Gopal,,,RR,Rajasthan Royals,14,,14,,192,,427,86,,,42.70,30.00,30.00,,,8.54,50,,,,3,0,,,,,10,,,,4/16,4/16,0,,0,0,,0,,
2020,10012,Murugan Ashwin,,,PBKS,Punjab Kings,9,,9,,135,,235,70,,,23.50,18.90,18.90,,,7.46,31,,,,0,0,,,,,10,,,,3/21,3/21,0,,0,0,,0,,
2020,10012,Shardul Thakur,,,CSK,Chennai Super Kings,9,,9,,105,,275,68,,,27.50,19.40,19.40,,,8.50,32,,,,0,0,,,,,10,,,,3/19,3/19,0,,0,0,,0,,
2020,10012,Rahul Tewatia,,,RR,Rajasthan Royals,14,,14,,120,,326,95,,,32.60,27.60,27.60,,,7.08,46,,,,13,17,,,,,10,,,,3/18,3/18,0,,0,0,,0,,
