season,stats_comp_id,StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Most_4s,Most_6s,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,ClientPlayerID
2020,10012,KL Rahul,19,14,,,,10012,,,PBKS,Punjab Kings,10012,,,14,,670,518,,129.34,,,,,,,,,,58,23,58,23,12,2,55.83,5,1,,132*,55.83,,,
2020,10012,Shikhar Dhawan,11,17,,,,10012,,,DC,Delhi Capitals,10012,,,17,,618,427,,144.73,,,,,,,,,,67,12,67,12,14,3,44.14,4,2,,106*,44.14,,,
2020,10012,David Warner,214,16,,,,10012,,,SRH,Sunrisers Hyderabad,10012,,,16,,548,407,,134.64,,,,,,,,,,52,14,52,14,14,2,39.14,4,0,,85*,39.14,,,
2020,10012,Shreyas Iyer,12,17,,,,10012,,,DC,Delhi Capitals,10012,,,17,,519,421,,123.27,,,,,,,,,,40,16,40,16,15,2,34.60,3,0,,88*,34.60,,,
2020,10012,Ishan Kishan,164,14,,,,10012,,,MI,Mumbai Indians,10012,,,13,,516,354,,145.76,,,,,,,,,,36,30,36,30,9,4,57.33,4,0,,99,57.33,,,
2020,10012,Quinton de Kock,170,16,,,,10012,,,MI,Mumbai Indians,10012,,,16,,503,358,,140.50,,,,,,,,,,46,22,46,22,14,2,35.92,4,0,,78*,35.92,,,
2020,10012,Suryakumar Yadav,174,16,,,,10012,,,MI,Mumbai Indians,10012,,,15,,480,331,,145.01,,,,,,,,,,61,11,61,11,12,3,40.00,4,0,,79*,40.00,,,
2020,10012,Devdutt Padikkal,200,15,,,,10012,,,RCB,Royal Challengers Bangalore,10012,,,15,,473,379,,124.80,,,,,,,,,,51,8,51,8,15,0,31.53,5,0,,74,31.53,,,
2020,10012,Virat Kohli,2,15,,,,10012,,,RCB,Royal Challengers Bangalore,10012,,,15,,466,384,,121.35,,,,,,,,,,23,11,23,11,11,4,42.36,3,0,,90*,42.36,,,
2020,10012,AB de Villiers,198,15,,,,10012,,,RCB,Royal Challengers Bangalore,10012,,,14,,454,286,,158.74,,,,,,,,,,33,23,33,23,10,4,45.40,5,0,,73*,45.40,,,
