Match_ID,Date,Teams,Team1,Team2,Toss_Winner,Toss_Decision,team1_form_winrate_5,team2_form_winrate_5,venue_chase_winrate_prior,venue_score_prior,h2h_team1_winrate_prior,venue_team1_winrate_prior,venue_team2_winrate_prior,venue_avg_first_innings_runs_prior,team1_recent_runs_for_5,team2_recent_runs_for_5,team1_recent_runs_against_5,team2_recent_runs_against_5,team1_recent_wkts_taken_5,team2_recent_wkts_taken_5,team1_recent_powerplay_rr_5,team2_recent_powerplay_rr_5,team1_recent_death_rr_5,team2_recent_death_rr_5,team1_player_elo_avg_prior,team2_player_elo_avg_prior,player_elo_gap_prior,team1_xi_continuity_prior,team2_xi_continuity_prior,team1_player_availability_prior,team2_player_availability_prior,team1_injury_proxy_prior,team2_injury_proxy_prior,venue_toss_bat_rate_prior,toss_decision_alignment_prior,toss_decision_venue_team1_winrate_prior,toss_field_chase_boost_team1,venue_pp_rr_first_innings_prior,venue_death_rr_first_innings_prior,venue_pp_rr_second_innings_prior,venue_death_rr_second_innings_prior,Match_Winner,Team1_Player_1,Team1_Player_2,Team1_Player_3,Team1_Player_4,Team1_Player_5,Team1_Player_6,Team1_Player_7,Team1_Player_8,Team1_Player_9,Team1_Player_10,Team1_Player_11,Team2_Player_1,Team2_Player_2,Team2_Player_3,Team2_Player_4,Team2_Player_5,Team2_Player_6,Team2_Player_7,Team2_Player_8,Team2_Player_9,Team2_Player_10,Team2_Player_11
335982,2008-04-18,Royal Challengers Bengaluru vs Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,0.8,0.5,0.625,0.25,0.3,0.16666666666666666,0.6,139.0,185.6,152.8,190.8,211.4,6.2,6.4,10.833333333333332,9.9,7.187595163457232,6.8219851116625305,1000.0020341158339,1013.653038443175,-13.65100432734107,0.09090909090909091,0.0,0.18181818181818182,0.36363636363636365,0.8181818181818181,0.6363636363636364,0.0,1.0,0.4,0.625,6.277777777777778,7.2123931623931625,8.315873015873017,3.2836438923395446,Kolkata Knight Riders,R Dravid,W Jaffer,V Kohli,JH Kallis,CL White,MV Boucher,B Akhil,AA Noffke,P Kumar,Z Khan,SB Joshi,SC Ganguly,BB McCullum,RT Ponting,DJ Hussey,Mohammad Hafeez,LR Shukla,WP Saha,AB Agarkar,AB Dinda,M Kartik,I Sharma
335983,2008-04-19,Punjab Kings vs Chennai Super Kings,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,0.4,0.4,0.5,0.0,0.5,0.5,0.5,165.0,177.0,200.2,178.2,184.2,5.6,6.2,9.033333333333333,10.133333333333335,8.365151515151515,8.083340969375453,1000.3883937267469,1018.3667243089141,-17.978330582167132,0.0,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.8181818181818181,0.7272727272727273,0.5,1.0,0.5,0.0,7.5,9.5,7.3,9.2,Chennai Super Kings,K Goel,JR Hopes,KC Sangakkara,Yuvraj Singh,SM Katich,IK Pathan,P Dharmani,B Lee,PP Chawla,WA Mota,S Sreesanth,PA Patel,ML Hayden,MEK Hussey,MS Dhoni,SK Raina,JDP Oram,S Badrinath,Joginder Sharma,P Amarnath,MS Gony,M Muralitharan
335984,2008-04-19,Delhi Capitals vs Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,0.4,0.4,0.375,-0.25,0.7142857142857143,0.5,0.5,180.33333333333334,132.2,186.2,142.6,207.6,2.8,4.6,6.033333333333333,11.76666666666667,7.066920634920635,6.270289097875304,1004.7054584306061,1006.6707327241328,-1.9652742935267042,0.0,0.0,0.45454545454545453,0.2727272727272727,0.5454545454545454,0.7272727272727273,0.6666666666666666,1.0,0.3333333333333333,0.0,8.86111111111111,10.66326255136739,7.8055555555555545,6.657853002680589,Delhi Capitals,G Gambhir,V Sehwag,S Dhawan,MK Tiwary,KD Karthik,R Bhatia,M Manhas,DL Vettori,MF Maharoof,B Geeves,GD McGrath,T Kohli,YK Pathan,SR Watson,M Kaif,DS Lehmann,RA Jadeja,M Rawat,D Salunkhe,SK Warne,SK Trivedi,MM Patel
335985,2008-04-20,Mumbai Indians vs Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,0.4,0.6,0.52,0.040000000000000036,0.5,0.5217391304347826,0.2,172.8695652173913,190.0,159.4,174.0,193.0,6.2,5.8,10.2,9.333333333333332,10.211815668202764,4.6220779220779225,1000.2640639223096,993.8995460245619,6.364517897747646,0.0,0.7272727272727273,0.36363636363636365,0.8181818181818182,0.6363636363636364,0.18181818181818177,0.08695652173913043,0.0,0.3333333333333333,0.0,8.507246376811596,8.687748793083827,8.014492753623186,8.599291187919732,Royal Challengers Bengaluru,L Ronchi,ST Jayasuriya,DJ Thornely,RV Uthappa,PR Shah,AM Nayar,SM Pollock,Harbhajan Singh,MA Khote,A Nehra,DS Kulkarni,S Chanderpaul,R Dravid,LRPL Taylor,JH Kallis,V Kohli,MV Boucher,B Akhil,P Kumar,Z Khan,SB Joshi,R Vinay Kumar
335987,2008-04-21,Rajasthan Royals vs Punjab Kings,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,0.2,0.2,0.625,0.25,0.6,0.5625,0.5,162.35714285714286,169.6,181.0,192.2,189.4,4.0,5.2,10.2,9.566666666666666,7.331827559413766,8.111904761904762,998.4426344658772,992.629572755663,5.813061710214129,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.18181818181818177,0.18181818181818177,0.35714285714285715,0.0,0.5,0.0,7.797619047619049,8.025316640803094,8.702380952380953,7.6233991947901725,Rajasthan Royals,M Kaif,Kamran Akmal,YK Pathan,SR Watson,DS Lehmann,RA Jadeja,Pankaj Singh,D Salunkhe,SK Warne,SK Trivedi,MM Patel,K Goel,JR Hopes,KC Sangakkara,DPMD Jayawardene,Yuvraj Singh,IK Pathan,S Sohal,B Lee,PP Chawla,WA Mota,S Sreesanth
335989,2008-04-23,Chennai Super Kings vs Mumbai Indians,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,0.6,0.4,0.5,0.0,0.25,0.5,0.5,165.0,210.2,192.0,186.8,177.8,5.8,5.8,10.3,9.9,10.001198112232595,10.764704557091655,1027.8497277180163,992.1667041298574,35.6830235881589,1.0,0.8181818181818182,1.0,0.9090909090909091,0.0,0.09090909090909094,0.5,0.0,0.5,0.5,7.5,9.5,7.3,9.2,Chennai Super Kings,PA Patel,ML Hayden,MEK Hussey,SK Raina,MS Dhoni,JDP Oram,S Badrinath,Joginder Sharma,P Amarnath,MS Gony,M Muralitharan,L Ronchi,ST Jayasuriya,RV Uthappa,SM Pollock,DJ Bravo,AM Nayar,MA Khote,Harbhajan Singh,A Nehra,VS Yeligati,DS Kulkarni
335991,2008-04-25,Punjab Kings vs Mumbai Indians,Punjab Kings,Mumbai Indians,Mumbai Indians,field,0.2,0.2,0.3333333333333333,-0.33333333333333337,0.2857142857142857,0.3333333333333333,0.5,240.0,194.0,196.4,201.8,195.2,5.6,4.8,9.766666666666666,9.833333333333332,9.865750915750917,9.851204557091654,986.3088169930596,983.3306666243454,2.978150368714182,0.8181818181818182,0.9090909090909091,0.8181818181818182,1.0,0.18181818181818177,0.0,1.0,0.0,0.5,0.6666666666666667,8.833333333333334,15.214285714285714,10.5,6.642857142857143,Punjab Kings,K Goel,IK Pathan,KC Sangakkara,Yuvraj Singh,RR Sarwan,DPMD Jayawardene,S Sohal,B Lee,PP Chawla,S Sreesanth,VRV Singh,L Ronchi,ST Jayasuriya,RV Uthappa,DJ Bravo,SS Tiwary,SM Pollock,AM Nayar,Harbhajan Singh,MA Khote,DS Kulkarni,A Nehra
335992,2008-04-26,Royal Challengers Bengaluru vs Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,0.8,0.4,0.5555555555555556,0.11111111111111116,0.375,0.14285714285714285,0.5,150.85714285714286,154.8,179.8,179.8,182.0,6.0,5.2,8.266666666666666,9.9,5.756998556998557,8.166610168109418,1004.0303592244913,1005.5936906442079,-1.5633314197165191,0.9090909090909091,0.7272727272727273,0.9090909090909091,0.8181818181818182,0.09090909090909094,0.18181818181818177,0.0,1.0,0.2,0.4444444444444444,6.833333333333333,8.14123495552067,7.746938775510205,2.81455190771961,Rajasthan Royals,S Chanderpaul,R Dravid,LRPL Taylor,JH Kallis,V Kohli,MV Boucher,P Kumar,SB Joshi,Z Khan,R Vinay Kumar,A Kumble,GC Smith,M Rawat,YK Pathan,SR Watson,M Kaif,RA Jadeja,D Salunkhe,SK Warne,Sohail Tanvir,SK Trivedi,MM Patel
335993,2008-04-26,Chennai Super Kings vs Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,0.8,0.6,0.3333333333333333,-0.33333333333333337,0.42857142857142855,0.6666666666666666,0.5,208.0,209.6,195.8,184.6,187.6,6.2,7.6,10.133333333333335,10.733333333333333,10.016681983200337,9.564842254519673,1036.8262836799056,1023.2603330153862,13.565950664519391,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,8.833333333333334,9.67741935483871,8.666666666666666,10.3125,Chennai Super Kings,PA Patel,ML Hayden,MS Dhoni,MEK Hussey,S Badrinath,SK Raina,JDP Oram,Joginder Sharma,P Amarnath,MS Gony,M Muralitharan,SC Ganguly,BB McCullum,RT Ponting,WP Saha,DJ Hussey,Mohammad Hafeez,LR Shukla,AB Agarkar,M Kartik,I Sharma,AB Dinda
335995,2008-04-27,Punjab Kings vs Delhi Capitals,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,0.2,0.5,0.25,-0.5,0.4,0.5,0.5,211.0,189.0,132.0,184.4,168.4,6.2,4.4,9.633333333333333,7.0,9.008608058608058,5.289142857142858,994.4522947392193,1012.0193235490552,-17.56702880983596,0.8181818181818182,0.7272727272727273,0.9090909090909091,0.7272727272727273,0.09090909090909094,0.2727272727272727,0.5,1.0,0.3333333333333333,0.0,9.416666666666668,11.464285714285714,8.5,4.421428571428572,Punjab Kings,K Goel,SM Katich,KC Sangakkara,DPMD Jayawardene,Yuvraj Singh,TM Srivastava,IK Pathan,B Lee,PP Chawla,S Sreesanth,VRV Singh,G Gambhir,V Sehwag,S Dhawan,Shoaib Malik,MK Tiwary,KD Karthik,R Bhatia,MF Maharoof,VY Mahesh,Mohammad Asif,GD McGrath
