match_id,match_name,team1,team2,venue,toss_winner,toss_decision,actual_winner,production_prediction,production_confidence,phase41_prediction,phase41_confidence,production_correct,phase41_correct,winner_agreement,updated_at_utc,source_csv
149618,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 1st Match, Indian Premier League 2026 - Scorecard",Royal Challengers Bengaluru,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,Sunrisers Hyderabad,0.542,Royal Challengers Bengaluru,0.392,False,True,False,2026-04-06 13:42:19.896175+00:00,data/raw/cricbuzz_historical_matches_exact1to11.csv
149629,"Mumbai Indians vs Kolkata Knight Riders, 2nd Match, Indian Premier League 2026 - Scorecard",Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai Indians,field,Mumbai Indians,Mumbai Indians,0.5702,Mumbai Indians,0.3829,True,True,True,2026-04-06 13:42:20.072671+00:00,data/raw/cricbuzz_historical_matches_exact1to11.csv
149640,"Rajasthan Royals vs Chennai Super Kings, 3rd Match, Indian Premier League 2026 - Scorecard",Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,field,Rajasthan Royals,Chennai Super Kings,0.5424,Rajasthan Royals,0.3234,False,True,False,2026-04-06 13:42:20.205645+00:00,data/raw/cricbuzz_historical_matches_exact1to11.csv
149651,"Punjab Kings vs Gujarat Titans, 4th Match, Indian Premier League 2026 - Scorecard",Punjab Kings,Gujarat Titans,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Punjab Kings,field,Punjab Kings,Gujarat Titans,0.6983,Punjab Kings,0.3075,False,True,False,2026-04-06 13:42:20.340076+00:00,data/raw/cricbuzz_historical_matches_exact1to11.csv
149662,"Lucknow Super Giants vs Delhi Capitals, 5th Match, Indian Premier League 2026 - Scorecard",Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,field,Delhi Capitals,Lucknow Super Giants,0.7114,Delhi Capitals,0.2051,False,True,False,2026-04-06 13:42:20.472189+00:00,data/raw/cricbuzz_historical_matches_exact1to11.csv
149673,"Kolkata Knight Riders vs Sunrisers Hyderabad, 6th Match, Indian Premier League 2026 - Scorecard",Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,Sunrisers Hyderabad,Sunrisers Hyderabad,0.5365,Kolkata Knight Riders,0.4319,True,False,False,2026-04-06 13:42:20.611210+00:00,data/raw/cricbuzz_historical_matches_exact1to11.csv
149684,"Chennai Super Kings vs Punjab Kings, 7th Match, Indian Premier League 2026 - Scorecard",Chennai Super Kings,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,field,Punjab Kings,Chennai Super Kings,0.5126,Chennai Super Kings,0.4194,False,False,True,2026-04-06 13:42:20.736890+00:00,data/raw/cricbuzz_historical_matches_exact1to11.csv
149695,"Delhi Capitals vs Mumbai Indians, 8th Match, Indian Premier League 2026 - Scorecard",Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,Delhi Capitals,Mumbai Indians,0.7591,Delhi Capitals,0.3182,False,True,False,2026-04-06 13:42:20.867320+00:00,data/raw/cricbuzz_historical_matches_exact1to11.csv
149699,"Gujarat Titans vs Rajasthan Royals, 9th Match, Indian Premier League 2026 - Scorecard",Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,field,Rajasthan Royals,Gujarat Titans,0.5307,Rajasthan Royals,0.262,False,True,False,2026-04-06 13:42:20.987753+00:00,data/raw/cricbuzz_historical_matches_exact1to11.csv
149710,"Sunrisers Hyderabad vs Lucknow Super Giants, 10th Match, Indian Premier League 2026 - Scorecard",Sunrisers Hyderabad,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,field,Lucknow Super Giants,Lucknow Super Giants,0.7648,Sunrisers Hyderabad,0.1463,True,False,False,2026-04-06 13:42:21.122327+00:00,data/raw/cricbuzz_historical_matches_exact1to11.csv
149721,"Royal Challengers Bengaluru vs Chennai Super Kings, 11th Match, Indian Premier League 2026 - Scorecard",Royal Challengers Bengaluru,Chennai Super Kings,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,Chennai Super Kings,0.6946,Royal Challengers Bengaluru,0.3515,False,True,False,2026-04-06 13:42:21.257632+00:00,data/raw/cricbuzz_historical_matches_exact1to11.csv
149732,"Kolkata Knight Riders vs Punjab Kings, 12th Match, Indian Premier League 2026 - Scorecard",Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,Draw/No Result,Punjab Kings,0.6208,Kolkata Knight Riders,0.3947,,,False,2026-04-09T13:44:58.179826+00:00,data/raw/cricbuzz_current_matches.csv
149743,"Rajasthan Royals vs Mumbai Indians, 13th Match, Indian Premier League 2026 - Scorecard",Rajasthan Royals,Mumbai Indians,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,field,Rajasthan Royals,Rajasthan Royals,0.529,Rajasthan Royals,0.3201,True,True,True,2026-04-09T13:44:58.356191+00:00,data/raw/cricbuzz_current_matches.csv
149746,"Delhi Capitals vs Gujarat Titans, 14th Match, Indian Premier League 2026 - Scorecard",Delhi Capitals,Gujarat Titans,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,Gujarat Titans,Gujarat Titans,0.8424,Delhi Capitals,0.3738,True,False,False,2026-04-09T13:44:58.481955+00:00,data/raw/cricbuzz_current_matches.csv
149757,"Kolkata Knight Riders vs Lucknow Super Giants, 15th Match, Indian Premier League 2026 - Scorecard",Kolkata Knight Riders,Lucknow Super Giants,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,Lucknow Super Giants,Lucknow Super Giants,0.7347,Kolkata Knight Riders,0.4458,True,False,False,2026-04-09T13:44:58.629333+00:00,data/raw/cricbuzz_current_matches.csv
149768,"Rajasthan Royals vs Royal Challengers Bengaluru, 16th Match, Indian Premier League 2026 - Scorecard",Rajasthan Royals,Royal Challengers Bengaluru,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,field,Rajasthan Royals,Rajasthan Royals,0.5261,Rajasthan Royals,0.3379,True,True,True,2026-04-11T10:02:21.274288+00:00,data/raw/cricbuzz_today_match.csv
149779,"Punjab Kings vs Sunrisers Hyderabad, 17th Match, Indian Premier League 2026 - Scorecard",Punjab Kings,Sunrisers Hyderabad,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Punjab Kings,field,Punjab Kings,Punjab Kings,0.6366,Punjab Kings,0.2957,True,True,True,2026-04-11T10:53:35.025336+00:00,data/raw/cricbuzz_today_149779.csv
149790,"Chennai Super Kings vs Delhi Capitals, 18th Match, Indian Premier League 2026 - Scorecard",Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,field,,Chennai Super Kings,0.6244,Chennai Super Kings,0.4392,False,False,True,2026-04-11T13:36:03.402422+00:00,data/raw/cricbuzz_today_149790.csv
