team,recent_form_winrate_5,recent_runs_for_5,recent_runs_against_5,recent_wkts_taken_5,recent_powerplay_rr_5,recent_death_rr_5,as_of_match_id,updated_at_utc
Chennai Super Kings,0.4,202.0,174.5,8.5,8.5,10.0,151818.0,2026-04-16T04:27:28.908359+00:00
Delhi Capitals,0.0,189.0,212.0,2.0,10.166666666666666,10.0,151807.0,2026-04-16T04:27:28.908359+00:00
Gujarat Titans,0.3333333333333333,165.0,164.0,8.0,10.0,10.0,151796.0,2026-04-16T04:27:28.908359+00:00
Kolkata Knight Riders,0.0,167.0,188.66666666666666,5.666666666666667,12.0,10.0,151829.0,2026-04-16T04:27:28.908359+00:00
Lucknow Super Giants,0.2,160.4,161.8,4.0,7.666666666666667,10.0,151774.0,2026-04-16T04:27:28.908359+00:00
Mumbai Indians,0.0,222.0,240.0,4.0,10.333333333333334,10.0,151785.0,2026-04-16T04:27:28.908359+00:00
Punjab Kings,0.3333333333333333,223.0,219.0,6.0,15.5,10.0,151785.0,2026-04-16T04:27:28.908359+00:00
Rajasthan Royals,0.2,180.5,208.5,7.0,12.333333333333334,10.0,151829.0,2026-04-16T04:27:28.908359+00:00
Royal Challengers Bengaluru,0.4,194.5,184.0,7.5,10.916666666666668,10.0,151807.0,2026-04-16T04:27:28.908359+00:00
Sunrisers Hyderabad,0.2,217.5,191.0,7.0,12.083333333333332,10.0,151818.0,2026-04-16T04:27:28.908359+00:00
