team,player,category
Chennai Super Kings,Kartik Sharma,bought
Chennai Super Kings,Prashant Veer,bought
Chennai Super Kings,Rahul Chahar,bought
Chennai Super Kings,Akeal Hosein,bought
Chennai Super Kings,Matt Henry,bought
Chennai Super Kings,Matthew Short,bought
Chennai Super Kings,Aman Khan,bought
Chennai Super Kings,Sarfaraz Khan,bought
Chennai Super Kings,Zakary Foulkes,bought
Chennai Super Kings,Ruturaj Gaikwad,retained
Chennai Super Kings,Ayush Mhatre,retained
Chennai Super Kings,M.S. Dhoni,retained
Chennai Super Kings,Dewald Brevis,retained
Chennai Super Kings,Urvil Patel,retained
Chennai Super Kings,Shivam Dube,retained
Chennai Super Kings,Jamie Overton,retained
Chennai Super Kings,Ramakrishna Ghosh,retained
Chennai Super Kings,Noor Ahmad,retained
Chennai Super Kings,Khaleel Ahmed,retained
Chennai Super Kings,Anshul Kamboj,retained
Chennai Super Kings,Gurjapneet Singh,retained
Chennai Super Kings,Shreyas Gopal,retained
Chennai Super Kings,Mukesh Choudhary,retained
Chennai Super Kings,Nathan Ellis,retained
Chennai Super Kings,Sanju Samson,retained
Mumbai Indians,Quinton de Kock,bought
Mumbai Indians,Mohammad Izhar,bought
Mumbai Indians,Danish Malewar,bought
Mumbai Indians,Atharva Ankolekar,bought
Mumbai Indians,Mayank Rawat,bought
Mumbai Indians,Hardik Pandya,retained
Mumbai Indians,Rohit Sharma,retained
Mumbai Indians,Suryakumar Yadav,retained
Mumbai Indians,Tilak Varma,retained
Mumbai Indians,Ryan Rickleton,retained
Mumbai Indians,Robin Minz,retained
Mumbai Indians,Mitchell Santner,retained
Mumbai Indians,Corbin Bosch,retained
Mumbai Indians,Naman Dhir,retained
Mumbai Indians,Jasprit Bumrah,retained
Mumbai Indians,Trent Boult,retained
Mumbai Indians,Allah Ghafanzar,retained
Mumbai Indians,Ashwani Kumar,retained
Mumbai Indians,Deepak Chahar,retained
Mumbai Indians,Will Jacks,retained
Mumbai Indians,Raghu Sharma,retained
Mumbai Indians,Raj Angad Bawa,retained
Mumbai Indians,Sherfane Rutherford,retained
Mumbai Indians,Mayank Markande,retained
Mumbai Indians,Shardul Thakur,retained
Kolkata Knight Riders,Cameron Green,bought
Kolkata Knight Riders,Matheesha Pathirana,bought
Kolkata Knight Riders,Mustafizur Rahman,bought
Kolkata Knight Riders,Tejasvi Singh,bought
Kolkata Knight Riders,Finn Allen,bought
Kolkata Knight Riders,Tim Seifert,bought
Kolkata Knight Riders,Rahul Tripathi,bought
